"dist_km","media_tempo_entrega_min","pedidos"
"1034.0","36.1","57"
"1035.0","36.2","58"
"1036.0","32.5","46"
"1037.0","33.9","52"
"1038.0","33.3","36"
"1039.0","35.5","43"
"1041.0","32.2","58"
"1042.0","35.8","36"
"1043.0","32.2","37"
"1044.0","31.8","46"
"1045.0","33.1","36"
"1046.0","39.3","50"
"1047.0","35.0","53"
"1048.0","40.0","38"
"1049.0","34.6","48"
"1051.0","33.6","46"
"1052.0","36.8","43"
"1053.0","34.9","29"
"1054.0","34.4","49"
"1055.0","36.7","34"
"1056.0","38.5","39"
"1057.0","34.2","29"
"1058.0","35.8","38"
"1059.0","37.2","45"
"1061.0","32.2","31"
"1062.0","33.7","16"
"1063.0","34.1","37"
"1064.0","32.5","33"
"1065.0","38.8","19"
"1066.0","35.1","23"
"1067.0","37.6","18"
"1068.0","35.6","35"
"1069.0","35.7","36"
"1071.0","37.9","34"
"1072.0","39.2","26"
"1073.0","37.5","50"
"1074.0","32.2","27"
"1075.0","40.1","26"
"1076.0","32.8","26"
"1077.0","29.9","32"
"1078.0","35.4","36"
"1079.0","36.5","30"
"1081.0","34.8","31"
"1082.0","33.7","33"
"1083.0","36.9","23"
"1084.0","39.2","35"
"1085.0","33.9","28"
"1086.0","40.2","24"
"1087.0","31.3","27"
"1088.0","33.3","28"
"1089.0","35.5","33"
"1091.0","31.3","19"
"1092.0","30.8","29"
"1093.0","37.2","32"
"1094.0","39.5","44"
"1095.0","35.8","23"
"1096.0","37.7","28"
"1097.0","34.4","29"
"1098.0","37.5","19"
"1099.0","36.0","40"
"1101.0","37.4","30"
"1102.0","42.5","31"
"1103.0","36.8","16"
"1104.0","34.8","31"
"1105.0","34.0","22"
"1106.0","39.6","35"
"1107.0","36.6","24"
"1108.0","38.8","24"
"1109.0","40.3","29"
"1111.0","35.3","34"
"1112.0","41.6","24"
"1113.0","35.6","28"
"1114.0","32.9","18"
"1115.0","35.7","41"
"1116.0","39.0","30"
"1117.0","37.4","21"
"1118.0","30.1","24"
"1119.0","36.6","27"
"1121.0","36.6","26"
"1122.0","35.8","24"
"1123.0","34.1","28"
"1124.0","35.5","29"
"1125.0","34.6","21"
"1126.0","33.7","23"
"1127.0","33.1","26"
"1128.0","48.9","24"
"1129.0","35.9","29"
"1131.0","36.4","21"
"1132.0","35.9","27"
"1133.0","36.5","15"
"1134.0","35.6","25"
"1135.0","38.1","13"
"1136.0","41.7","13"
"1137.0","36.3","18"
"1138.0","36.2","17"
"1139.0","34.5","12"
"1141.0","40.1","18"
"1142.0","36.3","23"
"1143.0","37.7","15"
"1144.0","43.5","14"
"1145.0","35.9","23"
"1146.0","46.5","9"
"1147.0","36.4","19"
"1148.0","41.2","25"
"1149.0","34.1","16"
"1151.0","35.9","22"
"1152.0","34.8","26"
"1153.0","36.4","27"
"1154.0","36.4","17"
"1155.0","41.6","21"
"1156.0","39.8","14"
"1157.0","40.2","13"
"1158.0","36.7","16"
"1159.0","37.5","17"
"1161.0","36.8","18"
"1162.0","36.6","28"
"1163.0","35.1","12"
"1164.0","32.8","26"
"1165.0","43.4","25"
"1166.0","48.3","12"
"1167.0","36.1","28"
"1168.0","33.0","20"
"1169.0","34.2","18"
"1171.0","35.0","16"
"1172.0","31.7","26"
"1173.0","38.1","16"
"1174.0","40.4","20"
"1175.0","36.0","17"
"1176.0","38.1","19"
"1177.0","37.7","18"
"1178.0","37.9","22"
"1179.0","32.4","25"
"1181.0","34.9","10"
"1182.0","34.3","23"
"1183.0","38.1","14"
"1184.0","39.6","28"
"1185.0","40.7","20"
"1186.0","38.7","11"
"1187.0","34.3","15"
"1188.0","37.4","17"
"1189.0","43.9","16"
"1191.0","36.5","7"
"1192.0","41.7","15"
"1193.0","35.1","19"
"1194.0","43.2","19"
"1195.0","40.2","19"
"1196.0","35.5","18"
"1197.0","46.2","15"
"1198.0","35.7","20"
"1199.0","39.7","12"
"1201.0","39.5","14"
"1202.0","37.8","20"
"1203.0","35.2","16"
"1204.0","35.5","28"
"1205.0","46.2","18"
"1206.0","35.1","25"
"1207.0","37.0","17"
"1208.0","35.3","15"
